"gender","Team","Background","Pro.level","Winter.Training.Camp","altitude_results","vo2_results","hr_results","Continent","age"
0,1,1,0,1,-1.59372034291218,-0.979943484902192,-0.922601178448974,1,1.3188850066364
1,1,2,1,0,0.578419935402948,-0.125030957179451,0.029024585809896,2,-0.558652857088253
1,2,3,1,0,0.788627059110864,-0.694972642327945,-0.582734834070806,2,0.124088184266166
0,2,4,0,0,-0.752891848080519,-0.196273667823012,-0.0389486830657376,3,-1.24139389844267
0,3,2,0,1,-0.542684724372603,0.516153438612606,0.776730543441865,4,0.63614396528198
0,2,3,0,0,-1.87399650785607,-2.19106956584274,-1.87422694270784,1,-0.900023377765463
0,2,5,1,0,0.858696100346836,0.516153438612606,0.436864199063697,2,0.124088184266166
1,2,3,1,1,0.368212811695032,-0.694972642327945,-0.718681371822073,5,0.465458704943375
0,4,3,1,0,-0.542684724372603,0.658638859899729,0.0969978546855296,6,-1.58276441911988
1,3,1,0,1,-1.10323705426038,-1.33615703812,-1.19449425395151,2,-1.41207915878128
1,3,3,0,0,-0.122270476956771,-0.837458063615069,-0.990574447324608,2,0.97751448595919
1,3,1,0,0,1.06890322405475,0.516153438612606,0.0969978546855296,2,1.3188850066364
0,3,2,1,0,-0.472615683136631,0.159939885394797,-0.106921951941371,5,0.465458704943375
1,4,6,1,1,-0.682822806844547,-0.694972642327945,-0.242868489692638,5,1.489570266975
1,4,2,1,0,0.788627059110864,0.231182596038358,0.30091766131243,4,0.124088184266166
0,1,4,1,1,0.928765141582808,0.587396149256167,1.52443650107383,3,-0.0465970760724391
1,5,6,1,0,-0.472615683136631,-1.26491432747644,-0.718681371822073,3,-0.558652857088253
0,3,2,1,1,0.228074729223088,0.373668017325482,0.844703812317499,2,-1.75344967945849
0,1,2,1,1,0.788627059110864,1.15733783440466,1.59240976994947,3,0.806829225620585
1,4,3,1,1,-1.03316801302441,-2.19106956584274,-1.94220021158348,5,-0.558652857088253
1,3,2,0,0,0.0879366467511445,-0.48124451039726,-0.582734834070806,3,-0.729338117426858
0,4,5,1,0,0.29814377045906,0.658638859899729,0.708757274566232,6,-0.387967596749649
0,3,1,0,1,0.928765141582808,0.872366991830415,1.11659688782003,6,0.124088184266166
1,2,6,1,0,0.0178676055151725,-1.26491432747644,-1.33044079170278,5,0.63614396528198
1,1,2,1,0,0.368212811695032,0.231182596038358,-0.0389486830657376,5,1.66025552731361
0,2,6,1,0,1.41924843023461,2.15473578341453,1.6603830388251,6,-0.729338117426858
0,1,2,0,0,-1.73385842538413,-0.623729931684383,-0.85462790957334,2,0.806829225620585
0,5,2,0,1,0.368212811695032,0.801124281186853,1.0486236189444,6,-1.24139389844267
0,5,1,1,0,1.6995245951785,1.58479409826603,1.2525434255713,3,-1.41207915878128
1,4,3,0,1,-0.122270476956771,-0.766215352971507,-1.12652098507587,6,-0.558652857088253
0,3,1,1,0,-2.22434171403593,-2.04858414455562,-2.01017348045911,3,0.465458704943375
0,1,3,1,1,1.2090413065267,1.58479409826603,1.72835630770074,6,-1.58276441911988
0,2,4,1,0,2.33014596630225,2.15473578341453,2.13619592095454,6,-0.900023377765463
0,4,1,1,1,0.0879366467511445,0.444910727969044,0.30091766131243,1,1.66025552731361
1,1,5,0,0,1.48931747147058,0.872366991830415,0.368890930188064,4,0.294773444604771
1,3,3,1,0,-0.472615683136631,-0.623729931684383,-1.19449425395151,4,-0.900023377765463
0,1,2,0,0,0.508350894166976,0.444910727969044,0.708757274566232,4,0.465458704943375
0,5,6,0,0,0.578419935402948,1.22858054504822,0.504837467939331,6,0.465458704943375
0,4,5,1,1,1.34917938899864,2.0122503621274,1.72835630770074,3,-0.558652857088253
